categoria,centroide_lat,centroide_lon,funcion,id,municipio_id,nombre
Localidad simple,-37.8233871716044,-60.484639770555,,6014030,60014.0,JUAN E. BARRA
Localidad simple,-37.6254980210026,-58.7461862359423,,6063030,60063.0,NAPALEOFU
Localidad simple,-37.5426353712017,-58.3407185507274,,6063040,60063.0,RAMOS OTERO
Localidad simple,-38.0122838564587,-58.355377761682,,6063050,60063.0,SAN AGUSTIN
Localidad simple,-37.8596285282151,-57.9806008736401,,6063060,60063.0,VILLA LAGUNA LA BRAVA
Localidad simple,-42.0119886969656,-65.3064500926092,,26007010,,ARROYO VERDE
Localidad simple,-38.1766861391835,-60.1708487303777,,6014040,60014.0,VASQUEZ
Localidad simple,-31.2693712880357,-58.1060425422369,,30015090,,LA CRIOLLA
Localidad simple,-33.8128781547156,-59.5043068852807,CABECERA_DEPARTAMENTO,6070010,60070.0,BARADERO
Localidad simple,-37.6766410210104,-59.8057677109444,CABECERA_DEPARTAMENTO,6084020,60084.0,BENITO JUAREZ
Localidad simple,-33.9810489198561,-59.6715601606315,,6070020,60070.0,IRINEO PORTELA
Localidad simple,-22.7245611902241,-64.346319220401,,66126010,,AGUAS BLANCAS
Localidad simple,-35.0330734347841,-60.2806197287099,CABECERA_DEPARTAMENTO,6021010,60021.0,ALBERTI
Localidad simple,-34.8681189984321,-60.3939708823403,,6021020,60021.0,CORONEL SEGUI
Localidad simple,-34.062154134736,-59.5585420642846,,6070030,60070.0,SANTA COLOMA
Localidad simple,-33.9096038045591,-59.3882017132282,,6070040,60070.0,VILLA ALSINA
Localidad simple,-34.064591121211,-60.1025564443537,CABECERA_DEPARTAMENTO,6077010,60077.0,ARRECIFES
Localidad simple,-34.0328240475348,-60.1562270065745,,6077020,60077.0,TODD
Localidad simple,-33.9922765156086,-60.2263211205477,,6077030,60077.0,VIÑA
Localidad simple,-37.6424111302365,-59.3889380312926,,6084010,60084.0,BARKER
Localidad simple,-37.5545120854221,-59.6278461536299,,6084030,60084.0,LOPEZ
Localidad simple,-37.3683686253208,-59.7630391604187,,6084040,60084.0,TEDIN URIBURU
Componente de localidad compuesta,-35.068013673391,-60.4025971632697,,6021030,60021.0,MECHITA
Localidad simple,-35.1243819752343,-60.2200612615259,,6021040,60021.0,PLA
Localidad simple,-35.1096178332808,-60.070551324606,,6021050,60021.0,VILLA GRISOLIA
Localidad simple,-34.8881255447686,-60.3469385614882,,6021060,60021.0,VILLA MARIA
Localidad simple,-34.8435329449862,-60.3048498633641,,6021070,60021.0,VILLA ORTIZ
Componente de localidad compuesta,-34.8002849372665,-58.3913639562887,CABECERA_DEPARTAMENTO,6028010,60028.0,ALMIRANTE BROWN
Componente de localidad compuesta,-34.6670197685011,-58.3609838160556,CABECERA_DEPARTAMENTO,6035010,60035.0,AVELLANEDA
Localidad simple,-37.1536695670417,-58.4895476662462,CABECERA_DEPARTAMENTO,6042010,60042.0,AYACUCHO
Localidad simple,-37.2286256057071,-58.7603890048806,,6042020,60042.0,LA CONSTANCIA
Localidad simple,-36.8444984439739,-58.5071421689017,,6042030,60042.0,SOLANET
Localidad simple,-36.5637513540211,-58.5333344196536,,6042040,60042.0,UDAQUIOLA
Localidad simple,-36.5312544192466,-59.9200651844348,,6049010,60049.0,ARIEL
Localidad simple,-36.7795144970312,-59.8586331707413,CABECERA_DEPARTAMENTO,6049020,60049.0,AZUL
Localidad simple,-36.3805626332947,-59.5030645507265,,6049030,60049.0,CACHARI
Localidad simple,-37.3150113247344,-59.9853181679139,,6049040,60049.0,CHILLAR
Localidad simple,-37.2020524773603,-60.1652139181813,,6049050,60049.0,16 DE JULIO
Localidad simple,-38.7138052426005,-62.265959896828,CABECERA_DEPARTAMENTO,6056010,60056.0,BAHIA BLANCA
Localidad simple,-38.4838572081944,-61.8926015349486,,6056020,60056.0,CABILDO
Localidad simple,-38.7136524854985,-62.3924221653991,,6056030,60056.0,GENERAL DANIEL CERRI
Localidad simple,-37.8482779294345,-58.2551665841248,CABECERA_DEPARTAMENTO,6063010,60063.0,BALCARCE
Localidad simple,-37.9412057603,-58.3225920150442,,6063020,60063.0,LOS PINOS
Localidad simple,-37.6704778893557,-59.4003533386514,,6084050,60084.0,VILLA CACIQUE
Componente de localidad compuesta,-34.7633439435624,-58.2078083914443,CABECERA_DEPARTAMENTO,6091010,60091.0,BERAZATEGUI
Componente de localidad compuesta,-34.8764141983789,-57.8863953320288,CABECERA_DEPARTAMENTO,6098010,60098.0,BERISSO
Localidad simple,-36.0010429767568,-60.8534495072374,,6105010,60105.0,HALE
Localidad simple,-36.3498770527922,-61.2552591224517,,6105020,60105.0,JUAN F. IBARRA
Localidad simple,-36.5053183545527,-61.0243287245345,,6105040,60105.0,PAULA
Localidad simple,-36.5109170215402,-61.5545516558692,,6105050,60105.0,PIROVANO
Localidad simple,-36.2295602208798,-61.1131898679982,CABECERA_DEPARTAMENTO,6105060,60105.0,SAN CARLOS DE BOLIVAR
Localidad simple,-36.4329292363695,-61.419116019242,,6105070,60105.0,URDAMPILLETA
Localidad simple,-36.6025793254646,-61.3618625494724,,6105080,60105.0,VILLA LYNCH PUEYRREDON
Localidad simple,-35.2267581272748,-60.4168952837295,,6112005,60112.0,ASAMBLEA
Localidad simple,-35.1189422997629,-60.4879147568209,CABECERA_DEPARTAMENTO,6112010,60112.0,BRAGADO
Localidad simple,-35.3233100374631,-60.5217314911689,,6112020,60112.0,COMODORO PY
Localidad simple,-34.9067979091956,-60.7597838238054,,6112030,60112.0,GENERAL O'BRIEN
Localidad simple,-34.7718230311122,-60.6916912010277,,6112040,60112.0,IRALA
Localidad simple,-35.0797272650156,-60.5928546665185,,6112050,60112.0,LA LIMPIA
Localidad simple,-35.0615246745825,-60.7060741424473,,6112060,60112.0,JUAN F. SALABERRY
Componente de localidad compuesta,-34.6109252295721,-58.3887253951658,CAPITAL_PAIS,2000010,,CIUDAD AUTONOMA DE BUENOS AIRES
Localidad simple,-37.1774801030509,-62.7578962604015,CABECERA_DEPARTAMENTO,6007010,60007.0,CARHUE
Localidad simple,-37.4486186469627,-63.117609405389,,6007020,60007.0,COLONIA SAN MIGUEL ARCANGEL
Localidad simple,-37.3173292631958,-63.2331690622102,,6007030,60007.0,DELFIN HUERGO
Componente de localidad compuesta,-37.3563345638716,-62.4387637810214,,6007040,60007.0,ESPARTILLAR
Localidad simple,-37.4544378016288,-63.2565950033782,,6007050,60007.0,ESTEBAN AGUSTIN GASCON
Localidad simple,-36.6613400852941,-63.3661281675236,,6007060,60007.0,LA PALA
Localidad simple,-36.7999468137731,-63.3385151506224,,6007070,60007.0,MAZA
Localidad simple,-37.1583546113813,-63.2442194943605,,6007080,60007.0,RIVERA
Localidad simple,-37.4600992847959,-63.2405658599852,,6007100,60007.0,VILLA MARGARITA
Localidad simple,-36.9884309445004,-63.133808887439,,6007110,60007.0,YUTUYACO
Localidad simple,-38.0333995087596,-60.1003341740637,CABECERA_DEPARTAMENTO,6014010,60014.0,ADOLFO GONZALES CHAVES
Localidad simple,-37.9635021758562,-60.415659383962,,6014020,60014.0,DE LA GARMA
Componente de localidad compuesta,-35.0699378566803,-60.4084937925362,,6112070,60112.0,MECHITA
Localidad simple,-35.2375277927366,-60.6115341696178,,6112080,60112.0,OLASCOAGA
Localidad simple,-34.9098734445056,-60.5381681629003,,6112090,60112.0,WARNES
Localidad simple,-35.3615828022139,-58.1504868159157,,6119010,60119.0,ALTAMIRANO
Localidad simple,-35.3145370547125,-58.0484420796345,,6119015,60119.0,BARRIO EL MIRADOR
Localidad simple,-35.0335777783555,-58.1935382681817,,6119020,60119.0,BARRIO LAS GOLONDRINAS
Localidad simple,-35.1050389949725,-58.1835007859607,,6119030,60119.0,BARRIO LOS BOSQUECITOS
