id_registro,productos
0,SOJA
1,GIRASOL
1,MIJO
1,RESIDUO VEGETAL
2,MAIZ
2,AVENA
2,CAMPO NATURAL
3,SOJA
3,ALPISTE
4,SOJA
4,ALPISTE
4,TRIGO
5,CEREALES
6,CEREALES
7,NUEZ PECAN
7,PASTURAS
7,INCULTO
8,GANADERIA BOVINA
9,ARANDANO
10,ARANDANO
10,FRAMBUESA
10,MORA
10,TOMATE
10,PIMIENTO
10,ZAPALLO
10,INCULTO
11,ARANDANO
11,DESCANSO
12,TRIGO
12,SOJA
13,LINO DORADO
13,SOJA
14,TRIGO
14,SOJA
15,TRIGO
15,SOJA
16,ARANDANO
16,PASTURAS
17,ARANDANO
17,NARANJA
18,VACAS
18,VAQUILLONAS
18,NOVILLOS
18,TOROS
18,TERNERAS
19,OLIVO
20,REPOLLO
20,ACELGA
20,BROCOLI
20,HINOJO
20,HABAS
20,ESPINACA
20,COLIFLOR
20,LECHUGA
20,CEBOLLA DE VERDEO
20,MANZANA
20,HIGOS
20,CIRUELA
20,PERA
20,DURAZNO
20,MANDARINA
20,POMELO
20,FORESTALES
21,ARANDANO
21,MORA
21,CIRUELA
21,DURAZNO
22,ARANDANOS
23,HORTALIZAS
24,HORTICULTURA: HORTALIZAS DE RAIZ
24,HOJA
24,FRUTOS
25,HUEVOS
26,AVENA
26,TRIGO
27,KIWI
28,CEREALES
29,CEREALES
30,TRIGO
30,CENTENO
30,AVENA
30,CEBADA
30,PASTURAS
30,CAMPO NATURAL
31,CEREALES
32,CEREALES
33,MAIZ
33,SOJA
33,GIRASOL
33,LINO
33,TRIGO
34,MAIZ
34,LINO
34,TRIGO
34,GIRASOL
35,AVENA
35,ARVEJA
35,ABONO VERDE
35,TRIGO
35,SORGO
36,KIWIS
37,VACAS
37,TERNEROS
38,KIWI
38,LIMON
38,MORAS SILVESTRES
38,NOGALES
38,MANDARINA
38,HIGO
39,ALFALFA
39,CAMPO NATURAL
39,SOJA
39,TRIGO
39,AVENA
39,CEBADA
39,ARVEJA
39,LINO
39,ZAPALLO
39,SESAMO
39,POROTO
39,AMARANTO
39,MAIZ
39,GIRASOL
39,SORGO
39,MAIZ PISINGALLO
40,CEREALES
40,OLEAGINOSAS
41,LECHE
41,VACAS DE TAMBO
41,VAQUILLONAS
41,TOROS
41,TERNERAS
41,TERNEROS
42,AVENA
43,RUCULA
43,RABANITO
43,PUERROS
43,PIMIENTOS
43,BERENJENAS
43,CEBOLLA
43,PEREJIL
43,ACELGA
43,REMOLACHA
43,ZAPALLO
43,BATATA
43,HINOJO
43,ESCAROLA
43,REPOLLO
43,ZANAHORIA
43,CHAUCHA
43,ZAPALLITO
43,ZUCCHINI
43,TOMATE
43,LECHUGA
43,CIBOULETTE
43,FRUTILLA
43,ESPINACA
43,ARVEJA
43,HABAS
43,PAK CHOY
43,RADICHETA
43,APIO
43,JENJIBRE
43,MILENRAMA
43,CEDRON
43,SALVIA
43,MENTA
43,MELISA
43,TOMILLO
43,ROMERO
43,MOSTAZA
43,CURCUMA
43,AJENJO
43,KALE
43, LIMON
43,MANZANA
43,BROCOLI
43,AJO
43,ALCAUCIL.
44,CEREALES
44,OLEAGINOSAS
45,CEREALES
45,OLEAGINOSAS
46,CEREALES
46,OLEAGINOSAS
47,PASTURAS
47,SORGO
47,CEBADA
47,TRIGO
47,CAMPO NATURAL
48,GANADERIA BOVINA
49,CEREALES
50,AVENA
50,CEBADA
50,TRIGO
51,ZAPALLO RED HOKKAIDO
51,CEBOLLA
52,AVENA
52,TRIGO
53,AVENA
53,TRIGO
54,KIWI
54,DESCANSO
54,MONTE
55,SOJA
56,GANADERIA BOVINA
