id_registro,rubro
0,AGRICULTURA
1,AGRICULTURA
2,AGRICULTURA
3,AGRICULTURA
4,AGRICULTURA
5,AGRICULTURA
6,AGRICULTURA
7,FRUTICULTURA
7,HORTICULTURA
8,GANADERIA
9,FRUTICULTURA
9,HORTICULTURA
10,FRUTICULTURA
10,HORTICULTURA
11,FRUTICULTURA
11,HORTICULTURA
12,AGRICULTURA
13,AGRICULTURA
14,AGRICULTURA
15,AGRICULTURA
16,FRUTICULTURA
16,HORTICULTURA
17,FRUTICULTURA
17,HORTICULTURA
18,GANADERIA
19,AGRICULTURA
20,FRUTICULTURA
20,HORTICULTURA
21,FRUTICULTURA
21,HORTICULTURA
22,AGRICULTURA
23,HORTICULTURA
24,HORTICULTURA
25,GANADERIA
26,AGRICULTURA
27,FRUTICULTURA
28,AGRICULTURA
29,AGRICULTURA
30,AGRICULTURA
31,AGRICULTURA
32,AGRICULTURA
33,AGRICULTURA
34,AGRICULTURA
35,AGRICULTURA
36,FRUTICULTURA
37,GANADERIA
38,FRUTICULTURA
39,AGRICULTURA
40,AGRICULTURA
41,GANADERIA
42,AGRICULTURA
43,HORTICULTURA
44,AGRICULTURA
45,AGRICULTURA
46,AGRICULTURA
47,AGRICULTURA
48,GANADERIA
49,AGRICULTURA
50,AGRICULTURA
51,HORTICULTURA
52,AGRICULTURA
53,AGRICULTURA
54,FRUTICULTURA
54,HORTICULTURA
55,AGRICULTURA
56,GANADERIA
57,AGRICULTURA
58,AGRICULTURA
59,AGRICULTURA
60,FRUTICULTURA
60,HORTICULTURA
61,AGRICULTURA
62,AGRICULTURA
63,AGRICULTURA
64,AGRICULTURA
65,AGRICULTURA
66,AGRICULTURA
67,AGRICULTURA
67,GANADERIA
68,GANADERIA
69,AGRICULTURA
70,AGRICULTURA
71,AGRICULTURA
71,GANADERIA
72,HORTICULTURA
73,GANADERIA
74,AGRICULTURA
75,AGRICULTURA
76,AGRICULTURA
77,APICULTURA
78,GANADERIA
79,AGRICULTURA
80,AGRICULTURA
81,AGRICULTURA
82,AGRICULTURA
83,AGRICULTURA
84,AGRICULTURA
85,AGRICULTURA
86,AGRICULTURA
87,AGRICULTURA
88,HORTICULTURA
89,AGRICULTURA
90,AGRICULTURA
91,AGRICULTURA
92,AGRICULTURA
93,AGRICULTURA
94,AGRICULTURA
95,AGRICULTURA
96,AGRICULTURA
97,AGRICULTURA
98,AGRICULTURA
99,AGRICULTURA
100,HORTICULTURA
101,AGRICULTURA
101,GANADERIA
102,AGRICULTURA
102,GANADERIA
103,AGRICULTURA
104,AGRICULTURA
105,AGRICULTURA
106,AGRICULTURA
107,AGRICULTURA
108,AGRICULTURA
109,AGRICULTURA
110,AGRICULTURA
111,GANADERIA
112,FRUTICULTURA
112,HORTICULTURA
113,AGRICULTURA
114,AGRICULTURA
115,HORTICULTURA
116,AGRICULTURA
117,AGRICULTURA
118,AGRICULTURA
119,AGRICULTURA
120,AGRICULTURA
121,AGRICULTURA
122,GANADERIA
123,FRUTICULTURA
123,HORTICULTURA
124,HORTICULTURA
125,AGRICULTURA
126,AGRICULTURA
127,FRUTICULTURA
127,HORTICULTURA
128,FRUTICULTURA
129,AGRICULTURA
130,AGRICULTURA
131,FRUTICULTURA
132,AGRICULTURA
133,FRUTICULTURA
134,FRUTICULTURA
135,AGRICULTURA
136,AGRICULTURA
137,AGRICULTURA
138,HORTICULTURA
139,AGRICULTURA
139,GANADERIA
140,APICULTURA
141,AGRICULTURA
142,FRUTICULTURA
142,HORTICULTURA
143,AGICULTURA
143,HORTICULTURA
144,FRUTICULTURA
144,HORTICULTURA
145,GANADERIA
146,AGRICULTURA
147,AGRICULTURA
148,APICULTURA
149,HORTICULTURA
150,FRUTICULTURA
151,FRUTICULTURA
151,HORTICULTURA
152,AGRICULTURA
153,AGRICULTURA
154,AGRICULTURA
155,AGRICULTURA
156,AGRICULTURA
157,FRUTICULTURA
158,FRUTICULTURA
158,HORTICULTURA
159,FRUTICULTURA
159,HORTICULTURA
160,APICULTURA
161,AGRICULTURA
162,FRUTICULTURA
163,APICULTURA
164,APICULTURA
165,APICULTURA
166,AGRICULTURA
167,APICULTURA
168,APICULTURA
169,APICULTURA
170,GANADERIA
171,GANADERIA
172,GANADERIA
173,GANADERIA
174,GANADERIA
175,GANADERIA
176,GANADERIA
177,FRUTICULTURA
178,FRUTICULTURA
179,FRUTICULTURA
180,GANADERIA
181,GANADERIA
182,GANADERIA
183,GANADERIA
184,GANADERIA
185,GANADERIA
186,GANADERIA
187,GANADERIA
188,GANADERIA
189,GANADERIA
190,FRUTICULTURA
191,GANADERIA
192,GANADERIA
193,GANADERIA
194,GANADERIA
195,GANADERIA
196,FRUTICULTURA
197,FRUTICULTURA
198,GANADERIA
199,GANADERIA
200,FRUTICULTURA
200,HORTICULTURA
201,GANADERIA
202,GANADERIA
203,GANADERIA
204,RECOLECCION SILVESTRE
205,FRUTICULTURA
206,GANADERIA
207,FRUTICULTURA
208,GANADERIA
209,GANADERIA
210,GANADERIA
211,GANADERIA
212,AGRICULTURA
213,APICULTURA
214,AGRICULTURA
215,FRUTICULTURA
215,HORTICULTURA
216,AGRICULTURA
217,AGRICULTURA
218,FRUTICULTURA
219,AGRICULTURA
220,FRUTICULTURA
221,AGRICULTURA
222,AGRICULTURA
223,AGRICULTURA
224,AGRICULTURA
225,AGRICULTURA
226,AGRICULTURA
227,AGRICULTURA
228,AGRICULTURA
229,AGRICULTURA
230,AGRICULTURA
231,HORTICULTURA
232,FRUTICULTURA
233,FRUTICULTURA
234,AGRICULTURA
235,AGRICULTURA
236,AGRICULTURA
237,AGRICULTURA
238,AGRICULTURA
239,AGRICULTURA
240,AGRICULTURA
241,AGRICULTURA
242,AGRICULTURA
243,AGRICULTURA
244,AGRICULTURA
245,AGRICULTURA
246,GANADERIA
247,FRUTICULTURA
247,HORTICULTURA
248,AGRICULTURA
249,FRUTICULTURA
249,HORTICULTURA
250,AGRICULTURA
251,AGRICULTURA
252,FRUTICULTURA
252,HORTICULTURA
253,AGRICULTURA
254,AGRICULTURA
255,AGRICULTURA
256,AGRICULTURA
257,AGRICULTURA
258,APICULTURA
259,AGRICULTURA
260,AGRICULTURA
261,AGRICULTURA
262,AGRICULTURA
263,AGRICULTURA
264,AGRICULTURA
265,AGRICULTURA
266,AGRICULTURA
267,AGRICULTURA
268,AGRICULTURA
269,AGRICULTURA
270,AGRICULTURA
271,AGRICULTURA
272,APICULTURA
273,APICULTURA
274,FRUTICULTURA
275,FRUTICULTURA
276,FRUTICULTURA
277,AGRICULTURA
278,AGRICULTURA
279,FRUTICULTURA
279,HORTICULTURA
280,FRUTICULTURA
281,FRUTICULTURA
282,FRUTICULTURA
283,FRUTICULTURA
284,FRUTICULTURA
285,FRUTICULTURA
286,FRUTICULTURA
287,FRUTICULTURA
288,AGRICULTURA
289,FRUTICULTURA
290,AGRICULTURA
291,FRUTICULTURA
292,FRUTICULTURA
293,FRUTICULTURA
294,FRUTICULTURA
295,FRUTICULTURA
296,FRUTICULTURA
296,HORTICULTURA
297,FRUTICULTURA
298,FRUTICULTURA
299,AGRICULTURA
300,FRUTICULTURA
300,HORTICULTURA
301,FRUTICULTURA
302,FRUTICULTURA
303,FRUTICULTURA
304,FRUTICULTURA
305,FRUTICULTURA
306,AGRICULTURA
307,FRUTICULTURA
308,FRUTICULTURA
308,HORTICULTURA
309,FRUTICULTURA
309,HORTICULTURA
310,FRUTICULTURA
310,HORTICULTURA
311,FRUTICULTURA
312,FRUTICULTURA
312,HORTICULTURA
313,FRUTICULTURA
314,FRUTICULTURA
315,FRUTICULTURA
315,HORTICULTURA
316,FRUTICULTURA
317,FRUTICULTURA
318,FRUTICULTURA
318,HORTICULTURA
319,FRUTICULTURA
319,HORTICULTURA
320,FRUTICULTURA
320,HORTICULTURA
321,FRUTICULTURA
322,FRUTICULTURA
322,HORTICULTURA
323,FRUTICULTURA
323,HORTICULTURA
324,FRUTICULTURA
325,FRUTICULTURA
326,FRUTICULTURA
327,AGRICULTURA
328,FRUTICULTURA
329,FRUTICULTURA
330,FRUTICULTURA
331,FRUTICULTURA
332,FRUTICULTURA
333,FRUTICULTURA
334,FRUTICULTURA
335,FRUTICULTURA
335,HORTICULTURA
336,FRUTICULTURA
336,HORTICULTURA
337,FRUTICULTURA
337,HORTICULTURA
338,FRUTICULTURA
338,HORTICULTURA
339,FRUTICULTURA
340,AGRICULTURA
341,AGRICULTURA
342,AGRICULTURA
343,AGRICULTURA
344,FRUTICULTURA
345,FRUTICULTURA
346,FRUTICULTURA
347,FRUTICULTURA
347,HORTICULTURA
348,FRUTICULTURA
349,FRUTICULTURA
349,HORTICULTURA
350,FRUTICULTURA
350,HORTICULTURA
351,FRUTICULTURA
352,FRUTICULTURA
353,FRUTICULTURA
354,HORTICULTURA
355,FRUTICULTURA
356,FRUTICULTURA
357,FRUTICULTURA
358,FRUTICULTURA
359,FRUTICULTURA
359,HORTICULTURA
360,FRUTICULTURA
360,HORTICULTURA
361,FRUTICULTURA
361,HORTICULTURA
362,AGRICULTURA
363,FRUTICULTURA
364,FRUTICULTURA
365,FRUTICULTURA
365,HORTICULTURA
366,FRUTICULTURA
367,FRUTICULTURA
368,FRUTICULTURA
369,FRUTICULTURA
369,HORTICULTURA
370,FRUTICULTURA
371,FRUTICULTURA
372,FRUTICULTURA
373,FRUTICULTURA
373,HORTICULTURA
374,FRUTICULTURA
374,HORTICULTURA
375,FRUTICULTURA
376,FRUTICULTURA
377,FRUTICULTURA
378,FRUTICULTURA
378,HORTICULTURA
379,FRUTICULTURA
379,HORTICULTURA
380,FRUTICULTURA
380,HORTICULTURA
381,FRUTICULTURA
382,FRUTICULTURA
382,HORTICULTURA
383,FRUTICULTURA
384,FRUTICULTURA
385,FRUTICULTURA
386,FRUTICULTURA
387,FRUTICULTURA
