rubro,clae2
FRUTICULTURA,1
AGRICULTURA,1
HORTICULTURA,1
GANADERIA,1
BODEGA VITIVINICOLA,11
PROCESAMIENTO FRUTALES Y HORTALIZAS,10
APICULTURA,1
PROCESAMIENTO CEREALES Y OLEAGINOSAS,10
PROCESAMIENTO CULTIVOS INDUSTRIALES,10
EMPAQUE DE FRUTAS NO CITRICAS,10
ACOPIO Y ACONDICIONAMIENTO DE GRANOS,10
INDUSTRIA VITIVINICOLA,11
PROCESAMIENTO APICOLA,10
EXTRACCION DE ACEITE,10
OTROS,999
PROCESAMIENTO TEXTIL,13
EMPAQUE DE HORTALIZAS,10
FRACCIONAMIENTO DE MIEL,10
FRIGORIFICOS PARA  FRUTAS,10
SECADO DE FRUTAS,10
EMPAQUE Y FRIGORIFICO DE FRUTAS NO CITRICAS,10
FRIGORIFICO PARA  MOSTO,10
SECADO,999
ELABORACION,999
EMPAQUE Y FRIO,999
ELABORACION DE MOSTO CONCENTRADO DE UVA,11
ACUICULTURA,1
INDUSTRIALIZACION DE FRUTAS DESECADAS,10
"ELABORACION, FRACCIONAMIENTO, ALMACENAMIENTO, CONGELADO",999
EXTRACCION Y FRACCIONAMIENTO DE MIEL,10
SECADERO DE FRUTAS,10
BODEGA VITIVINICOLA. ELABORACION DE MOSTO CONCENTRADO DE UVAS,11
ALMACENAMIENTO Y FRIO PARA FRUTAS NO CITRICAS,10
EXTRACCION DE ACEITE Y ELABORACION DE ACEITUNAS Y OTROS,10
EXTRACCION DE MIEL,10
PROCESAMIENTO PRODUCTOS ORGANICOS,10
"SECADO, ACONDICIONAMIENTO, ELABORACION Y ACOPIO",999
ELABORACION DE DULCES,10
PROCESAMIENTO DE MANI Y SOJA,10
ELABORACION DE JUGO CONCENTRADO,10
PELADO,999
ENVASADO,999
"SECADERO , MOLINO Y FRACCIONAMIENTO DE TE, YERBA MATE",10
ALMACENAMIENTO,999
EMPAQUE Y FRIGORIFICO FRUTAS NO CITRICAS,10
INDUSTRIALIZACION DE LIMON,10
ELABORACION DE JUGO CONCENTRADO DE MANZANA Y PERA,11
ELABORACION Y ENVASADO,999
EMPAQUE DE HORTALIZAS Y FRUTAS NO CITRICAS,10
ELABORACION DE ACEITE DE ROSA MOSQUETA,10
EMPAQUE DE PRODUCTOS DE LIMON,10
ELABORACION DE MANZANA Y PERA DEHIDRATADA,10
INDUSTRIA CARNICA,10
ELABORACION DE DULCES Y FRUTAS EN ALMIBAR,10
EMPAQUE FRUTAS NO CITRICAS,10
SECADO - DESPALILLADO - EMBOLSADO,999
EMPAQUE PARA FRUTA NO CITRICA,10
ELABORACION DE MOSTO CONCENTRADO,11
FRACCIONAMIENTO,999
MOLINO DE YERBA MATE,10
"BODEGA VITIVINICOLA Y ELABORACION DE  VINAGRE, MERMELADAS, HUMUS DE LOMBRIZ",10
PROCESAMIENTO DE TE,11
ELABORACION DE PASAS DE UVA,10
DEPOSITO DE YERBA,10
ELABORACION GRANOS,10
RECOLECCION SILVESTRE,1
PRODUCTOS PARA EL CUIDADO PERSONAL,32
ELABORACION Y EXTRACCION DE ACEITE,10
INDUSTRIALIZACION DE YERBA MATE,10
"FRACCIONAMIENTO DE TE, YERBA MATE",10
INDUSTRIA LACTEA,10
ALIMENTACION ANIMAL,1
ACONDICIONAMIENTO Y EMPAQUE,999
"PANIFICACION, GRANOS Y CEREALES, HARINAS, LEGUMBRES, YERBA MATE, AZUCAR, MIEL",10
PROCESAMIENTO DE TE Y MOLINO YERBA MATE,10
"ELABORACION , FRACCIONAMIENTO Y DEPOSITO DE HIERBAS AROMATICAS Y MEDICINALES",10
FRIGORIFICOS Y EMPAQUE PARA  FRUTAS,10
LIMPIEZA DE GRANOS,10
ACOPIO,10
"ELABORACION, FRACCIONAMIENTO Y EMPAQUE",10
ACOPIO,10
ELABORACION,999
PROCESAMIENTO DE MANI,10
FRACCIONAMIENTO Y EMPAQUE DE ARROZ,10
ELABORACION DE  JUGOS CONCENTRADOS Y FABRICA DE ACEITES ESENCIALES,11
"ELABORACION DE JUGOS CONCENTRADOS, ACEITE ESCENCIAL Y PULPA DE CITRICOS",11
ALMACENAMIENTO,999
FRACCIONAMIENTO DE VINO,11
PROCESADO Y ENVASADO DE HORTALIZAS,10
FRACCIONAMIENTO,999
EMPAQUE,999
ELABORACION DE JUGOS Y BODEGA VITIVINICOLA,11
